Třikrát rychlejší než slovo	Tř @@i @@krát rychl @@ejš @@í než slov @@o
* Před vložením peněz do cenných papírů zkoumat také jejich likviditu .	* Před v @@lož @@en @@ím peněz do cen @@n @@ých papír @@ů z @@koum @@a @@t také je @@j @@i @@ch likvid @@it @@u .
Slogan investiční společnosti , že je " kámen , na kterém můžete stavět " , pak z pohledu drobného investora nemusí být až tak třpytivý .	Slogan in @@vest @@ič @@n @@í s @@pol @@eč @@n @@ost @@i , že je " kámen , na kter @@é @@m můž @@e @@te stav @@ě @@t " , pak z po @@hled @@u drob @@n @@é @@ho invest @@or @@a ne @@mus @@í bý @@t až tak třpyt @@i @@v @@ý .
Ladislav Buben , Novosedly	Ladislav Buben , Nov @@o @@sed @@l @@y
Příspěvek zařazený do této rubriky - pojednávající o konkrétních chybách podnikatelů - je běžně honorován a navíc zhodnocen prémií 100 Kč .	Pří @@spě @@v @@ek za @@řaz @@en @@ý do t @@é @@to rubrik @@y - po @@jedn @@á @@v @@aj @@íc @@í o konkrét @@n @@ích chyb @@ách pod @@nik @@a @@tel @@ů - je běž @@ně honor @@ová @@n a na @@víc z @@hod @@n @@oc @@en prém @@i @@í 100 K @@č .
Bude také zařazen do čtvrtletního slosování o 3000 korun .	Bud @@e také za @@řaz @@en do čtvrt @@let @@n @@ího s @@los @@ová @@n @@í o 3000 korun .
Pište nám o tom , jaké chyby jste se při podnikání dopustili a jaké z toho plyne poučení .	Piš @@te n @@á @@m o t @@o @@m , jak @@é chyb @@y js @@te s @@e při pod @@nik @@á @@n @@í do @@pust @@i @@l @@i a jak @@é z t @@o @@ho ply @@n @@e po @@uč @@en @@í .
Číslo týdne	Čísl @@o týdn @@e
Západoevropský trh s automobily prožil v minulém roce černou sérii .	Zá @@pad @@o @@evrop @@sk @@ý trh s auto @@mobil @@y pro @@ži @@l v mi @@nu @@l @@ém roc @@e čern @@ou séri @@i .
V období měsíců leden - listopad 1993 pouze jediná z evropských značek a to Škoda zvýšila svůj prodej - o 5.2 % .	V ob @@dob @@í měsíc @@ů leden - list @@o @@pad 1993 pouz @@e jedin @@á z evrop @@sk @@ých znač @@ek a t @@o Škod @@a z @@výš @@i @@l @@a sv @@ůj pro @@d @@e @@j - o 5.2 % .
Škoda na západoevropském trhu prodala 48000 aut , ale to je také absolutně nejméně ve srovnání s ostatními .	Škod @@a na zá @@pad @@o @@evrop @@sk @@ém trh @@u pro @@d @@a @@l @@a 48000 aut , ale t @@o je také absolut @@n @@ě nej @@mén @@ě ve s @@rovn @@á @@n @@í s o @@stat @@n @@í @@m @@i .
Poměrný pokles prodeje evropských výrobců v roce 1993 je zatím nevídaný .	Po @@měr @@n @@ý po @@kles pro @@d @@ej @@e evrop @@sk @@ých vý @@rob @@c @@ů v roc @@e 1993 je za @@t @@ím ne @@víd @@a @@n @@ý .
Japonské automobilky prodaly celkem na západoevropském trhu 1312000 aut a jejich celkový pokles prodeje byl 11.7 procenta .	Japon @@sk @@é auto @@mobil @@k @@y pro @@d @@a @@l @@y celk @@em na zá @@pad @@o @@evrop @@sk @@ém trh @@u 1312000 aut a je @@j @@i @@ch celk @@ov @@ý po @@kles pro @@d @@ej @@e by @@l 11.7 procent @@a .
| Daňový poradce |	| Daň @@ov @@ý po @@rad @@c @@e |
Trápí vás daně ?	Tráp @@í v @@á @@s dan @@ě ?
Nevíte , co kam započítat ?	Ne @@v @@í @@te , c @@o kam za @@po @@čít @@a @@t ?
Zdá se vám , že finanční úřad nepostupoval správně ?	Z @@dá s @@e v @@á @@m , že finanč @@n @@í ú @@řad ne @@po @@stup @@ova @@l s @@práv @@n @@ě ?
Jsou vám nejasná některá ustanovení daňových zákonů ?	Js @@ou v @@á @@m ne @@jas @@n @@á ně @@kter @@á u @@stanov @@en @@í daň @@ov @@ých zá @@kon @@ů ?
Je tu pro vás připravena rubrika Daňový poradce .	Je tu pro v @@á @@s při @@prav @@en @@a rubr @@ik @@a Daň @@ov @@ý po @@rad @@c @@e .
Vaše dotazy čekáme na naší adrese .	V @@a @@š @@e do @@taz @@y ček @@á @@me na n @@a @@š @@í adres @@e .
Spotřební daně	S @@po @@třeb @@n @@í dan @@ě
Můžete mi sdělit , k jakým hlavním změnám došlo po srpnové novele zákona o spotřebních daních ?	Můž @@e @@te m @@i s @@děl @@i @@t , k jak @@ý @@m hlav @@n @@í @@m z @@měn @@ám do @@š @@l @@o po srpn @@ov @@é novel @@e zá @@kon @@a o s @@po @@třeb @@n @@ích dan @@ích ?
Karel Holínek , Praha	Karel Holín @@ek , Prah @@a
Došlo ke zpřesnění pojmů například tuzemsko - zahraničí , dovoz - vývoz a podobně .	Do @@š @@l @@o ke z @@přesn @@ěn @@í po @@jm @@ů na @@pří @@klad tu @@zem @@sk @@o - za @@hran @@ič @@í , do @@voz - vý @@voz a po @@dob @@n @@ě .
Změnila se povinnost plátce ohledně vystavování daňových dokladů , použití určitých výrobků k nepodnikatelským činnostem , změnil se termín předkládání daňových přiznání na 25 dnů , je změněna ve vracení daně , upřesněno zdaňovací období , odvod , splatnost , zálohové vracení , registrace , oznamovací povinnost , penále , pokuty atd .	Z @@měn @@i @@l @@a s @@e po @@vin @@n @@ost plát @@c @@e o @@hled @@n @@ě vy @@stav @@ová @@n @@í daň @@ov @@ých do @@klad @@ů , po @@u @@ži @@tí urč @@it @@ý @@ch vý @@rob @@k @@ů k ne @@pod @@nik @@a @@tel @@sk @@ým čin @@n @@ost @@em , z @@měn @@i @@l s @@e termín před @@klád @@á @@n @@í daň @@ov @@ých při @@zn @@á @@n @@í na 25 dn @@ů , je z @@měn @@ěn @@a ve vrac @@e @@n @@í dan @@ě , u @@přesn @@ěn @@o z @@daň @@ova @@c @@í ob @@dob @@í , od @@vod , s @@plat @@n @@ost , zá @@loh @@ov @@é vrac @@e @@n @@í , registr @@ac @@e , o @@znam @@ova @@c @@í po @@vin @@n @@ost , penále , pokut @@y atd .
Ovšem zákon je zákon a nemohu doporučit nic jiného , než prostudování jeho autentického znění .	O @@vš @@em zá @@kon je zá @@kon a ne @@moh @@u do @@po @@ruč @@i @@t nic jin @@é @@ho , než pro @@stud @@ová @@n @@í je @@ho autentic @@k @@ého zn @@ě @@n @@í .
Jiří Gebarowský	Jiř @@í Gebarow @@sk @@ý
Kontakt : Norská 12 , 101 00 Praha 10 , tel . : ( 02 ) 73 89 59 .	Kon @@takt : Nor @@sk @@á 12 , 101 00 Prah @@a 10 , tel . : ( 02 ) 73 89 59 .
Majetek je starost	Maj @@et @@ek je star @@ost
Většina majitelů , kterým byly v restituci vráceny nájemní domy , zpočátku neuvažovala o tom , že by starost o svoji nemovitost přenechala jiným .	Vět @@š @@in @@a m @@aj @@i @@tel @@ů , kter @@ý @@m by @@l @@y v re @@stitu @@c @@i vrác @@en @@y ná @@jem @@n @@í dom @@y , z @@počát @@k @@u neu @@važ @@ova @@l @@a o t @@o @@m , že by star @@ost o svoj @@i ne @@movit @@ost pře @@nech @@a @@l @@a jin @@ý @@m .
Postupem času ale od svého úmyslu upouštějí a nabízejí správu domu specializovaným firmám .	Po @@stup @@e @@m čas @@u ale od s @@v @@é @@ho ú @@mysl @@u u @@poušt @@ěj @@í a na @@bíz @@ej @@í s @@práv @@u dom @@u speci @@al @@iz @@ova @@n @@ým firm @@ám .
Proč ?	Proč ?
Rostislav Valášek	Rostislav Valáš @@ek
Rozsah činností při správě domu je tak velký , říká ředitel firmy Pragoreal Vilém Kohner , že majitelé , kteří s ní neměli dosud zkušenosti , nebo dříve měli ale nyní jsou již staří , se po čase obracejí na nás , abychom za ně převzali povinnosti spojené s vlastnictvím a správou nemovitostí .	Roz @@sah čin @@n @@ost @@í při s @@práv @@ě dom @@u je tak vel @@k @@ý , řík @@á řed @@i @@tel firm @@y Prag @@o @@real Vilém Kohner , že m @@aj @@i @@tel @@é , kteř @@í s n @@í ne @@m @@ě @@l @@i do @@s @@ud z @@kuš @@en @@ost @@i , nebo dřív @@e mě @@l @@i ale nyn @@í js @@ou již stař @@í , s @@e po čas @@e ob @@rac @@ej @@í na n @@á @@s , a @@by @@chom za n @@ě pře @@vz @@a @@l @@i po @@vin @@n @@ost @@i s @@poj @@en @@é s vlast @@n @@ic @@tv @@ím a s @@práv @@ou ne @@movit @@ost @@í .
Tento trend potvrzuje mimo jiné i růst počtu domů , které v posledních třech letech firma Pragoreal dostala do správcovství .	T @@en @@t @@o trend po @@tvrz @@uje mimo jin @@é i růst po @@čt @@u dom @@ů , kter @@é v po @@sled @@n @@í @@ch tř @@e @@ch let @@e @@ch firm @@a Prag @@o @@real do @@sta @@l @@a do s @@práv @@c @@ov @@stv @@í .
Jak nám sdělil Vilém Kohner , v roce 1990 začínala firma Pragoreal s deseti obecními domy a dnes má ve správě již 250 domů , které představují kolem 3000 bytů a 250 nebytových prostorů .	Jak n @@á @@m s @@děl @@i @@l Vilém Kohner , v roc @@e 1990 za @@č @@ín @@a @@l @@a firm @@a Prag @@o @@real s deset @@i obec @@n @@ími dom @@y a dnes m @@á ve s @@práv @@ě již 250 dom @@ů , kter @@é před @@stav @@u @@j @@í kol @@em 3000 byt @@ů a 250 ne @@by @@t @@ov @@ých prostor @@ů .
Jenže čím více vlastníků , tím pravděpodobnější je střet názorů při řešení správy domu .	Jen @@že č @@í @@m více vlast @@n @@ík @@ů , t @@ím prav @@d @@ě @@po @@dob @@n @@ějš @@í je střet ná @@zor @@ů při řeš @@en @@í s @@práv @@y dom @@u .
Kromě právních úkonů , jako je sepisování nájemních smluv , smluv s dodavateli prací , energií , vody a služeb , jejich rozúčtování na nájemníky , plánování a finanční krytí oprav nebo i vymáhání dlužného nájemného , má správce domu ještě řadu dalších povinností , které z něj nikdo nesejme .	Krom @@ě práv @@n @@ích ú @@kon @@ů , jako je se @@pis @@ová @@n @@í ná @@jem @@n @@ích s @@mluv , s @@mluv s do @@d @@a @@v @@a @@tel @@i prac @@í , energ @@i @@í , vod @@y a služ @@eb , je @@j @@i @@ch roz @@ú @@čt @@ová @@n @@í na ná @@jem @@n @@í @@k @@y , plán @@ová @@n @@í a finanč @@n @@í kry @@t @@í o @@prav nebo i vy @@máh @@á @@n @@í dluž @@n @@ého ná @@jem @@n @@ého , m @@á s @@práv @@c @@e dom @@u ještě řad @@u dal @@š @@í @@ch po @@vin @@n @@ost @@í , kter @@é z n @@ě @@j ni @@kd @@o ne @@se @@j @@me .
Vzhledem k zastaralému bytovému fondu restituovaných nájemních domů je starostí s jejich údržbou nebo rekonstrukcemi více než dost .	Vz @@hled @@em k za @@star @@a @@l @@ému bytov @@ému fond @@u re @@stitu @@ova @@n @@ých ná @@jem @@n @@ích dom @@ů je star @@ost @@í s je @@j @@i @@ch ú @@drž @@b @@ou nebo re @@kon @@strukc @@emi více než dost .
Správa domů je podnikání jako každé jiné , má sice svá specifika , ale v žádném případě nemůže být tato činnost dlouhodobě ztrátová .	S @@práv @@a dom @@ů je pod @@nik @@á @@n @@í jako každ @@é jin @@é , m @@á sice s @@v @@á speci @@fik @@a , ale v žádn @@ém pří @@pad @@ě ne @@můž @@e bý @@t t @@a @@t @@o čin @@n @@ost dlouh @@o @@dob @@ě z @@trát @@ov @@á .
I když například firma Pragoreal až po třech letech , kdy získala do správy větší počet domů , nemusí správcovství dotovat z prostředků , získaných koupí a prodejem nemovitostí .	I když na @@pří @@klad firm @@a Prag @@o @@real až po tř @@e @@ch let @@e @@ch , kdy získ @@a @@l @@a do s @@práv @@y vět @@š @@í po @@čet dom @@ů , ne @@mus @@í s @@práv @@c @@ov @@stv @@í dot @@ova @@t z pro @@střed @@k @@ů , získ @@a @@n @@ých koup @@í a pro @@d @@ej @@em ne @@movit @@ost @@í .
Za správu soukromých domů si Pragoreal účtuje 8 až 15 procent z nájemného , a to podle toho , zda jsou v domě nebytové prostory .	Za s @@práv @@u sou @@krom @@ých dom @@ů s @@i Prag @@o @@real ú @@čt @@uje 8 až 15 procent z ná @@jem @@n @@ého , a t @@o po @@dle t @@o @@ho , zda js @@ou v dom @@ě ne @@byt @@ov @@é prostor @@y .
Kde jsou jenom byty , tam je to 15 procent vzhledem k přetrvávající regulaci nájemného .	Kd @@e js @@ou jenom by @@t @@y , tam je t @@o 15 procent vz @@hled @@em k pře @@trv @@á @@v @@aj @@íc @@í reg @@ul @@ac @@i ná @@jem @@n @@ého .
U obecních domů požaduje v průměru 10 procent z nájemného a například v obvodu Prahy 8 je to podle smlouvy jen 60 korun na nájemní jednotku bez ohledu , zda jde o byt nebo nebytový prostor .	U obec @@n @@ích dom @@ů po @@žad @@uje v prů @@měr @@u 10 procent z ná @@jem @@n @@ého a na @@pří @@klad v ob @@vod @@u Prah @@y 8 je t @@o po @@dle s @@mlouv @@y jen 60 korun na ná @@jem @@n @@í jedn @@ot @@k @@u bez o @@hled @@u , zda jd @@e o by @@t nebo ne @@byt @@ov @@ý pro @@stor .
V takovém případě podle slov Viléma Kohnera není firma motivována ani k vymáhání nájemného od neplatičů .	V tak @@ov @@é @@m pří @@pad @@ě po @@dle slov Vilém @@a Kohner @@a není firm @@a motiv @@ová @@n @@a ani k vy @@máh @@á @@n @@í ná @@jem @@n @@ého od ne @@plat @@ič @@ů .
Opravy domů se hradí z nájemného , z něhož jde 20 procent na fond oprav , který může firma použít jen se souhlasem majitele .	O @@prav @@y dom @@ů s @@e hrad @@í z ná @@jem @@n @@ého , z n @@ě @@ho @@ž jd @@e 20 procent na fond o @@prav , kter @@ý můž @@e firm @@a po @@u @@ží @@t jen s @@e sou @@hlas @@e @@m m @@aj @@i @@tel @@e .
U nájemních domů bez nebytových prostor platí , že majitel získá z vybraného nájemného mizivé prostředky _ , velmi často vůbec nic .	U ná @@jem @@n @@ích dom @@ů bez ne @@by @@t @@ov @@ých pro @@stor plat @@í , že maj @@i @@tel získ @@á z vy @@br @@a @@n @@ého ná @@jem @@n @@ého miz @@iv @@é pro @@střed @@k @@y _ , velmi čast @@o vůbec nic .
Takové domy se prostě stěží uživí .	Tak @@ov @@é dom @@y s @@e prost @@ě s @@těž @@í u @@ži @@v @@í .
Aby náklady na provoz spravovaných domů byly co možná nejnižší , převzali pracovníci Pragorealu do své péče už 50 lokálních a jednu blokovou kotelnu .	Aby ná @@klad @@y na pro @@voz s @@prav @@ova @@n @@ých dom @@ů by @@l @@y c @@o mož @@ná nej @@niž @@š @@í , pře @@vz @@a @@l @@i prac @@ov @@níc @@i Prag @@o @@real @@u do s @@v @@é péč @@e už 50 lok @@ál @@n @@ích a jedn @@u blok @@ov @@ou kotel @@n @@u .
Nabízejí i úklidové služby prostřednictvím rakousko - české obchodní společnosti .	Na @@bíz @@ej @@í i ú @@klid @@ov @@é služ @@b @@y pro @@střed @@nic @@tv @@ím rakous @@k @@o - čes @@k @@é ob @@chod @@n @@í s @@pol @@eč @@n @@ost @@i .
Od rakouského partnera převzali osvědčenou organizaci práce , způsob kontroly úklidových čet a používání moderních ekologicky nezávadných čisticích prostředků .	Od rakous @@k @@ého partner @@a pře @@vz @@a @@l @@i o @@s @@věd @@č @@en @@ou organ @@iz @@ac @@i prác @@e , z @@pů @@sob kontrol @@y ú @@klid @@ov @@ých čet a pou @@ží @@vání modern @@í @@ch eko @@log @@ick @@y ne @@zá @@vad @@n @@ých čist @@i @@c @@ích pro @@střed @@k @@ů .
Kontakt : Pragoreal , spol . s r . o . , Na Rybníčku 10 / 1365 ,	Kon @@takt : Prag @@o @@real , spol . s r . o . , Na Ryb @@níč @@k @@u 10 / 1365 ,
VAŠE DOPISY	V @@A @@Š @@E DO @@PIS @@Y
Ve hře je 147 miliard	Ve hř @@e je 147 mili @@ard
( Profit č . 50 / 1993 )	( Pro @@fit č . 50 / 1993 )
Na ekonomické scéně se při hledání cest k úspěšnosti akciových společností , vznikajících privatizací státních podniků , objevují vedle ověřených metod řízení i nové prvky .	Na eko @@nom @@ick @@é scén @@ě s @@e při hled @@á @@n @@í cest k ú @@spěš @@n @@ost @@i akci @@ov @@ých spol @@eč @@n @@ost @@í , vz @@nik @@aj @@íc @@ích privat @@iz @@ac @@í stát @@n @@í @@ch pod @@nik @@ů , ob @@jev @@uj @@í ve @@dl @@e o @@věř @@en @@ých metod říz @@en @@í i nov @@é prv @@k @@y .
Ačkoli je u jejich kolébky dobrý úmysl , v praxi jsou spíš protitržním nástrojem .	Ač @@koli je u je @@j @@i @@ch koléb @@k @@y dobr @@ý ú @@mysl , v prax @@i js @@ou spíš proti @@trž @@n @@ím ná @@stroj @@e @@m .
Jedním z takových prvků jsou různá sdružení akcionářů těchto společností .	Jedn @@í @@m z tak @@ov @@ý @@ch prv @@k @@ů js @@ou různ @@á s @@druž @@en @@í akci @@onář @@ů t @@ě @@ch @@t @@o spol @@eč @@n @@ost @@í .
Pokud sdružení reprezentují opravdoví odborníci , schopní ve své vlastní akciové společnosti prosazovat i tak nepopulární opatření , jakým je například výměna neschopného vedení a podobně , mají tato sdružení svůj význam .	Po @@k @@ud s @@druž @@en @@í re @@prezent @@uj @@í o @@prav @@d @@ov @@í od @@bor @@níc @@i , s @@chop @@n @@í ve s @@v @@é vlast @@n @@í akci @@ov @@é s @@pol @@eč @@n @@ost @@i pro @@saz @@ova @@t i tak ne @@popul @@ár @@n @@í o @@patř @@en @@í , jak @@ý @@m je na @@pří @@klad vý @@měn @@a ne @@s @@chop @@n @@ého ved @@en @@í a po @@dob @@n @@ě , m @@aj @@í t @@a @@t @@o s @@druž @@en @@í sv @@ůj vý @@znam .
Mnohé státní podniky , které jdou do druhé vlny kupónové privatizace , nyní překotně iniciují založení sdružení akcionářů svého podniku .	Mnoh @@é stát @@n @@í pod @@nik @@y , kter @@é jd @@ou do druh @@é vln @@y kupón @@ov @@é privat @@iz @@ac @@e , nyn @@í pře @@kot @@n @@ě inici @@uj @@í za @@lož @@en @@í s @@druž @@en @@í akci @@onář @@ů s @@v @@é @@ho pod @@nik @@u .
Odůvodňují to zpravidla jednotnou prezentací zájmů akcionářů na valných hromadách .	O @@dů @@vod @@ň @@uj @@í t @@o z @@prav @@i @@dl @@a jedn @@ot @@n @@ou prezent @@ac @@í zá @@jm @@ů akci @@onář @@ů na val @@n @@ých hromad @@ách .
Vzniká tak vlastně jakýsi mezičlánek mezi představenstvem a dozorčí radou .	Vz @@nik @@á tak vlast @@n @@ě jak @@ý @@si mezi @@člán @@ek mezi před @@stav @@en @@stv @@em a do @@zor @@č @@í rad @@ou .
Často se představiteli sdružení stávají kmenoví pracovníci dřívějšího podniku .	Čast @@o s @@e před @@stav @@i @@tel @@i s @@druž @@en @@í stá @@v @@aj @@í kmen @@ov @@í prac @@ov @@níc @@i dřív @@ějš @@ího pod @@nik @@u .
Co se potom stane ?	C @@o s @@e po @@t @@o @@m sta @@ne ?
Dochází k prosazování zájmů vedení akciové společnosti v neprospěch například hlavních podílníků .	Do @@cház @@í k pro @@saz @@ová @@n @@í zá @@jm @@ů ved @@en @@í akci @@ov @@é s @@pol @@eč @@n @@ost @@i v ne @@pro @@spěch na @@pří @@klad hlav @@n @@ích po @@díl @@ník @@ů .
V nejedné akciové společnosti , která již prošla privatizací , se činnost těchto sdružení ukázala jako snaha o zachování stávajícího stavu .	V ne @@jedn @@é akci @@ov @@é s @@pol @@eč @@n @@ost @@i , kter @@á již pro @@š @@l @@a privat @@iz @@ac @@í , s @@e čin @@n @@ost t @@ě @@ch @@t @@o s @@druž @@en @@í u @@káz @@a @@l @@a jako snah @@a o za @@chov @@á @@n @@í stá @@v @@aj @@íc @@ího stav @@u .
Taková sdružení by se dala nazvat výstižnou zkratkou SPKK ( Spolek pro konzervaci koryt ) .	Tak @@ov @@á s @@druž @@en @@í by s @@e d @@a @@l @@a na @@zv @@a @@t vý @@stiž @@n @@ou z @@krat @@k @@ou S @@P @@K @@K ( Spol @@ek pro konzerv @@ac @@i koryt ) .
Dobře fungující , která jsou motorem k prosperitě firmy , jsou výjimkou .	Dobř @@e fung @@uj @@íc @@í , kter @@á js @@ou motor @@em k pro @@sper @@it @@ě firm @@y , js @@ou vý @@jim @@k @@ou .
Ladislav Martikán , Úvalno	Ladislav Martikán , Ú @@val @@n @@o
Domluvit se je tak prosté	Do @@mluv @@i @@t s @@e je tak prost @@é
( Profit č . 51 / 93 )	( Pro @@fit č . 51 / 93 )
Kdyby bylo tak prosté se domluvit , asi by svět byl příjemnějším místem , než je .	Kd @@y @@by by @@l @@o tak prost @@é s @@e do @@mluv @@i @@t , asi by svět by @@l pří @@jem @@n @@ějš @@ím míst @@em , než je .
I když většinou se lidé domluví , pokud to opravdu chtějí udělat .	I když vět @@š @@in @@ou s @@e lid @@é do @@mluv @@í , po @@k @@ud t @@o o @@prav @@d @@u cht @@ěj @@í u @@děl @@a @@t .
Potíž je v tom , že jakmile někdo vězí v nějaké nemilé situaci až po uši , ztrácí potřebný nadhled a může potom jednat ve zkratu , a to k ničemu dobrému nevede .	Po @@tíž je v t @@o @@m , že jak @@mile ně @@kd @@o věz @@í v ně @@jak @@é ne @@mil @@é situ @@ac @@i až po uš @@i , z @@trác @@í po @@třeb @@n @@ý nad @@hled a můž @@e po @@t @@o @@m jedn @@a @@t ve z @@krat @@u , a t @@o k ni @@č @@e @@mu dobr @@ému ne @@ved @@e .
Násilí jako metoda řešení takových situací se bohužel uplatňuje v podnikatelské sféře i u nás .	Ná @@sil @@í jako metod @@a řeš @@en @@í tak @@ov @@ý @@ch situ @@ac @@í s @@e bohužel u @@plat @@ň @@uje v pod @@nik @@a @@tel @@sk @@é sféř @@e i u n @@á @@s .
Pohrozit silou se zdá být nejrychlejším způsobem třeba při vymáhání jinak nedobytných pohledávek , když už pomineme ještě drastičtější formy .	Po @@hroz @@i @@t sil @@ou s @@e z @@dá bý @@t nej @@rychl @@ejš @@ím z @@pů @@sob @@e @@m třeb @@a při vy @@máh @@á @@n @@í jin @@ak ne @@do @@by @@t @@n @@ý @@ch po @@hled @@áv @@ek , když už po @@mi @@ne @@me ještě drastič @@t @@ějš @@í form @@y .
Kolik lidí , kteří násilí použijí , si však uvědomí , že jak se do lesa volá , tak se z lesa ozývá .	Kolik lid @@í , kteř @@í ná @@sil @@í po @@u @@ži @@j @@í , s @@i však u @@věd @@om @@í , že jak s @@e do les @@a vol @@á , tak s @@e z les @@a o @@zýv @@á .
Ideální by bylo , kdyby se jedinci nebo firmy vždy dokázali o sporných věcech dohodnout přímo .	Ideál @@n @@í by by @@l @@o , kd @@y @@by s @@e jedin @@c @@i nebo firm @@y vždy do @@káz @@a @@l @@i o s @@por @@n @@ý @@ch věc @@ech do @@hod @@nou @@t přím @@o .
Rozhodně by ušetřili čas i peníze .	Roz @@hod @@n @@ě by u @@šetř @@i @@l @@i čas i peníz @@e .
Ale když to z nějakých důvodů nejde , možná i proto , že chybí dobrá vůle , potom jsou tu možnosti , které v článku uvádíte .	Ale když t @@o z ně @@jak @@ý @@ch dů @@vod @@ů ne @@jd @@e , mož @@ná i pro @@t @@o , že chyb @@í dobr @@á vůl @@e , po @@t @@o @@m js @@ou tu mož @@n @@ost @@i , kter @@é v člán @@k @@u u @@vád @@í @@te .
Soudy jsou ale zavaleny spoustou případů , na rozhodnutí se čeká dlouho .	Soud @@y js @@ou ale za @@val @@en @@y s @@poust @@ou pří @@pad @@ů , na roz @@hod @@nu @@t @@í s @@e ček @@á dlouh @@o .
A z toho , kdo peníze nebo jiný majetek nemá , dluh nevynutí .	A z t @@o @@ho , kd @@o peníz @@e nebo jin @@ý maj @@et @@ek ne @@m @@á , dluh ne @@vy @@nut @@í .
O možnosti zprostředkování i ve firemních sporech se tak moc neví a nevyužívá se .	O mož @@n @@ost @@i z @@pro @@střed @@k @@ová @@n @@í i ve firem @@n @@ích s @@por @@ech s @@e tak moc ne @@v @@í a ne @@vy @@u @@ží @@v @@á s @@e .
To je škoda .	T @@o je škod @@a .
Smírné vyřešení sporu je asi nejlepší pro obě zúčastněné strany .	S @@mír @@n @@é vy @@řeš @@en @@í s @@por @@u je asi nej @@lep @@š @@í pro ob @@ě z @@ú @@čast @@n @@ěn @@é stran @@y .
Možná důležitější však je , že tak se také vytváří kulturnost celého podnikatelského prostředí .	Mož @@ná dů @@lež @@it @@ěj @@š @@í však je , že tak s @@e také vy @@tvář @@í kult @@ur @@n @@ost cel @@é @@ho pod @@nik @@a @@tel @@sk @@ého pro @@střed @@í .
Jindřich Bělecký , Rokycany	Jindřich Běleck @@ý , Rokyc @@an @@y
Nájemné z bytů v novém roce	Ná @@jem @@n @@é z byt @@ů v nov @@ém roc @@e
( Profit č . 51 / 1993 )	( Pro @@fit č . 51 / 1993 )
Dost jsem se obávala tohoto zvýšení nájemného .	Dost js @@em s @@e o @@bá @@v @@a @@l @@a t @@o @@ho @@t @@o z @@výš @@en @@í ná @@jem @@n @@ého .
Mám krátce před důchodem .	M @@á @@m krát @@c @@e před dů @@chod @@em .
Říkala jsem si , že z platu to ještě nějak utáhnu _ , ale co pak ?	Řík @@a @@l @@a js @@em s @@i , že z plat @@u t @@o ještě ně @@jak u @@táh @@n @@u _ , ale c @@o pak ?
Bydlím v bytě , který byl dříve státní , teď patří městu .	Bydl @@í @@m v by @@t @@ě , kter @@ý by @@l dřív @@e stát @@n @@í , teď patř @@í měst @@u .
Platby za služby spojené s užíváním bytu se nám již zvedaly a na rodinném rozpočtu to přece jenom bylo znát .	Plat @@b @@y za služ @@b @@y s @@poj @@en @@é s u @@ží @@v @@á @@n @@ím by @@t @@u s @@e n @@á @@m již z @@ved @@a @@l @@y a na rod @@in @@n @@é @@m roz @@po @@čt @@u t @@o přece jenom by @@l @@o zn @@á @@t .
Novou nájemní smlouvu jsme již podepisovali .	Nov @@ou ná @@jem @@n @@í s @@mlouv @@u js @@me již pode @@pis @@ova @@l @@i .
Budeme ji mít vlastně místo dekretu .	Bud @@e @@me j @@i m @@í @@t vlast @@n @@ě míst @@o de @@kret @@u .
Jsou v ní rozepsány jednotlivé položky - kolik za metr čtvereční obývacích prostorů , kolik za příslušenství , poměrná částka za investorské vybavení bytu ( kuchyňská linka atd . ) .	Js @@ou v n @@í roze @@ps @@á @@n @@y jedn @@ot @@l @@iv @@é po @@lož @@k @@y - kolik za metr čtvereč @@n @@í o @@bý @@v @@a @@c @@ích prostor @@ů , kolik za pří @@sluš @@en @@stv @@í , po @@měr @@n @@á část @@k @@a za in @@vest @@or @@sk @@é vy @@bav @@en @@í by @@t @@u ( kuchyň @@sk @@á lin @@k @@a atd . ) .
Se vším všudy se nám platby za byt zvýšily o necelých stopadesát korun .	S @@e vš @@í @@m všud @@y s @@e n @@á @@m plat @@b @@y za by @@t z @@výš @@i @@l @@y o ne @@cel @@ých st @@o @@pade @@sát korun .
Protože nebydlíme ani v atraktivním domě , ani na atraktivním místě , předpokládám , že činže pro nás bude i při eventuálním dalším růstu přijatelná .	Pro @@t @@o @@že ne @@bydl @@í @@me ani v a @@trakt @@iv @@n @@ím dom @@ě , ani na a @@trakt @@iv @@n @@ím míst @@ě , před @@po @@klád @@á @@m , že činž @@e pro n @@á @@s bud @@e i při event @@uál @@n @@ím dal @@š @@í @@m růst @@u při @@j @@a @@teln @@á .
Moc neradi bychom se totiž " na stará kolena " stěhovali někam jinam .	Moc ne @@rad @@i by @@chom s @@e totiž " na star @@á kolen @@a " stěh @@ova @@l @@i ně @@kam jin @@am .
Člověk si již těžko zvyká a hledá nové známé .	Člověk s @@i již těž @@k @@o z @@vyk @@á a hled @@á nov @@é zn @@á @@m @@é .
Milada Jeníková , Pelhřimov	Milad @@a Jen @@ík @@ov @@á , Pelhřimov
Rádce : Zákony , podnikání a my	Rád @@c @@e : Zá @@kon @@y , pod @@nik @@á @@n @@í a m @@y
( Profit č . 42 / 1993 )	( Pro @@fit č . 42 / 1993 )
