abbé	abb @@é
posrkávat	po @@srk @@á @@v @@a @@t
post	post
postahovat	po @@s @@tah @@ova @@t
postalinizmus	po @@stalin @@izmus
postaráme	po @@star @@á @@me
postaráno	po @@star @@á @@n @@o
postavena	po @@stav @@en @@a
postavený	po @@sta @@v @@en @@ý
postavili	po @@stav @@i @@l @@i
postavit	po @@stav @@i @@t
postaví	po @@sta @@v @@í
postačit	po @@stač @@i @@t
postačovat	po @@stač @@ova @@t
postačující	po @@stač @@uj @@íc @@í
postdatovat	post @@dat @@ova @@t
poste	poste
postele	po @@stel @@e
posteli	po @@stel @@i
postesknout	po @@s @@tesk @@nou @@t
postgraduanty	post @@gradu @@ant @@y
postihnout	po @@stih @@nou @@t
postihovat	po @@stih @@ova @@t
postihuje	po @@stih @@uje
postihují	po @@stih @@uj @@í
postihující	po @@stih @@uj @@íc @@í
postit	post @@i @@t
postlat	po @@stl @@a @@t
postoj	po @@stoj
postonávat	po @@ston @@á @@v @@a @@t
postoupit	po @@stoup @@i @@t
postrašit	po @@straš @@i @@t
postrkovat	po @@strk @@ova @@t
postrkávat	po @@strk @@á @@v @@a @@t
postrojit	po @@stroj @@i @@t
postrojovat	po @@stroj @@ova @@t
postruhovat	po @@struh @@ova @@t
postrádat	po @@strád @@a @@t
postrčit	po @@strč @@i @@t
postu	post @@u
postulovat	postul @@ova @@t
postupem	po @@stup @@em
postupovat	po @@stup @@ova @@t
postupy	po @@stup @@y
postát	po @@stá @@t
postátnit	po @@stát @@n @@i @@t
postátňovat	po @@stát @@ň @@ova @@t
postávalo	po @@stá @@v @@a @@l @@o
postýlat	po @@stýl @@a @@t
postýlek	po @@stýl @@ek
postýlka	po @@stýl @@k @@a
postýlky	po @@stýl @@k @@y
postýskat	po @@stýsk @@a @@t
postýsknout	po @@s @@týsk @@nou @@t
postěžovat	po @@s @@těž @@ova @@t
postřehnout	po @@střeh @@nou @@t
postřehovat	po @@střeh @@ova @@t
postřehy	po @@střeh @@y
postřihnout	po @@střih @@nou @@t
postřihovat	po @@střih @@ova @@t
postřikovat	po @@střik @@ova @@t
postřikovati	po @@střik @@ova @@ti
postříbřit	po @@stříbř @@i @@t
postříhat	po @@stříh @@a @@t
postříkat	po @@střík @@a @@t
postříknout	po @@střík @@nou @@t
postříkávat	po @@střík @@á @@v @@a @@t
postřílet	po @@stříl @@e @@t
posunout	po @@su @@nou @@t
posunovávatelnost	po @@sun @@ová @@v @@a @@teln @@ost
posuny	po @@sun @@y
posuzovat	po @@suz @@ova @@t
posuzován	po @@suz @@ová @@n
posuzují	po @@suz @@uj @@í
posvátné	po @@svát @@n @@é
posvátném	po @@svát @@n @@ém
posvátnému	po @@svát @@n @@ému
posvátný	po @@svát @@n @@ý
posvítila	po @@svít @@i @@l @@a
posvítit	po @@svít @@i @@t
posvěcovat	po @@svěc @@ova @@t
posvětit	po @@svět @@i @@t
posvětštit	po @@svět @@št @@i @@t
posypat	po @@syp @@a @@t
posypávat	po @@syp @@á @@v @@a @@t
posádkou	po @@sád @@k @@ou
posázet	po @@sáz @@e @@t
posévat	po @@sé @@v @@a @@t
posíci	po @@síc @@i
posílat	po @@síl @@a @@t
posílil	po @@síl @@i @@l
posílit	po @@síl @@i @@t
posíliti	po @@síl @@i @@ti
posílá	po @@síl @@á
posít	po @@sí @@t
posívat	po @@sí @@v @@a @@t
posýpat	po @@sýp @@a @@t
pot	pot
potah	po @@tah
potahovat	po @@tah @@ova @@t
potahávat	po @@tah @@á @@v @@a @@t
potakat	po @@tak @@a @@t
potakávat	po @@tak @@á @@v @@a @@t
potatit	po @@tat @@i @@t
potemnět	po @@tem @@n @@ě @@t
potenciál	potenc @@iál
potentovat	po @@tent @@ova @@t
potentočkovat	po @@ten @@t @@oč @@k @@ova @@t
potichu	po @@tich @@u
potil	pot @@i @@l
potisknout	po @@tisk @@nou @@t
potit	pot @@i @@t
potkal	po @@tk @@a @@l
potkali	po @@tk @@a @@l @@i
potkaly	po @@tk @@a @@l @@y
potkat	po @@tk @@a @@t
potkati	po @@tk @@a @@ti
potká	po @@tk @@á
potkáme	po @@tk @@á @@me
potkáte	po @@tk @@á @@te
potkával	po @@tk @@á @@v @@a @@l
potkáváme	po @@tk @@á @@v @@á @@me
potlačit	po @@tlač @@i @@t
potlačovat	po @@tlač @@ova @@t
potlouci	po @@tlouc @@i
potloukal	po @@tlouk @@a @@l
potloukat	po @@tlouk @@a @@t
potmě	po @@tm @@ě
potmět	po @@tm @@ě @@t
potměšilý	po @@tm @@ě @@ši @@l @@ý
potoka	po @@tok @@a
potoku	po @@tok @@u
potom	po @@t @@o @@m
potomka	po @@t @@o @@m @@k @@a
potomky	po @@t @@o @@m @@k @@y
potomstva	po @@t @@o @@m @@stv @@a
potopila	po @@top @@i @@l @@a
potopit	po @@top @@i @@t
potoční	po @@toč @@n @@í
potravina	po @@trav @@in @@a
potravinami	po @@trav @@in @@ami
potravinářském	po @@trav @@in @@ář @@sk @@ém
potrefený	po @@tref @@en @@ý
potrestal	po @@trest @@a @@l
potrestat	po @@trest @@a @@t
potrestá	po @@trest @@á
potrestám	po @@trest @@á @@m
potrhat	po @@trh @@a @@t
potrhnout	po @@trh @@nou @@t
potrhovat	po @@trh @@ova @@t
potrhávat	po @@trh @@á @@v @@a @@t
potrhává	po @@trh @@á @@v @@á
potrpěl	po @@trp @@ě @@l
potrpět	po @@trp @@ě @@t
potrvat	po @@trv @@a @@t
potrácet	po @@trác @@e @@t
potrápit	po @@tráp @@i @@t
potuchnout	po @@tuch @@nou @@t
potud	po @@t @@ud
potulku	po @@tul @@k @@u
potulovat	po @@tul @@ova @@t
potulují	po @@tul @@uj @@í
potupit	po @@tup @@i @@t
poturčit	po @@turč @@i @@t
potvoru	po @@tvor @@u
potvory	po @@tvor @@y
potvořit	po @@tvoř @@i @@t
potvrdila	po @@tvrd @@i @@l @@a
potvrdily	po @@tvrd @@i @@l @@y
potvrdit	po @@tvrd @@i @@t
potvrditelné	po @@tvrd @@i @@teln @@é
potvrdí	po @@tvrd @@í
potvrzena	po @@tvrz @@en @@a
potvrzení	po @@tvrz @@en @@í
potvrzovat	po @@tvrz @@ova @@t
potvrzování	po @@tvrz @@ová @@n @@í
potvrzuje	po @@tvrz @@uje
potácet	po @@tác @@e @@t
potáhnout	po @@táh @@nou @@t
potápníky	po @@táp @@ník @@y
potápějící	po @@táp @@ěj @@íc @@í
potápějícího	po @@táp @@ěj @@íc @@ího
potápěl	po @@táp @@ě @@l
potápět	po @@táp @@ě @@t
potázat	po @@táz @@a @@t
poté	po @@t @@é
potíž	po @@tíž
potíže	po @@tíž @@e
potížemi	po @@tíž @@emi
potýkat	po @@týk @@a @@t
potýrat	po @@týr @@a @@t
potěš	po @@těš
potěšen	po @@těš @@en
potěšení	po @@těš @@en @@í
potěšený	po @@těš @@en @@ý
potěšit	po @@těš @@i @@t
potěšovat	po @@těš @@ova @@t
potěším	po @@těš @@í @@m
potěžkat	po @@těž @@k @@a @@t
potěžkávat	po @@těž @@k @@á @@v @@a @@t
potřeb	po @@třeb
potřebami	po @@třeb @@ami
potřebnou	po @@třeb @@n @@ou
potřebný	po @@třeb @@n @@ý
potřebou	po @@třeb @@ou
potřeboval	po @@třeb @@ova @@l
potřebovala	po @@třeb @@ova @@l @@a
potřebovat	po @@třeb @@ova @@t
potřebovati	po @@třeb @@ova @@ti
potřebu	po @@třeb @@u
potřebuje	po @@třeb @@uje
potřebujeme	po @@třeb @@uje @@me
potřebují	po @@třeb @@uj @@í
potřeby	po @@třeb @@y
potřebách	po @@třeb @@ách
potřebám	po @@třeb @@á @@m
potřebě	po @@třeb @@ě
potřepat	po @@třep @@a @@t
potřepávat	po @@třep @@á @@v @@a @@t
potřeštit	po @@třešt @@i @@t
potřásat	po @@třás @@a @@t
potřásl	po @@třás @@l
potřásla	po @@třás @@l @@a
potřásli	po @@třás @@l @@i
potřáslo	po @@třás @@l @@o
potřásá	po @@třás @@á
potřískat	po @@třísk @@a @@t
potřísnit	po @@třísn @@i @@t
potřísněna	po @@třísn @@ěn @@a
potřít	po @@tř @@í @@t
potůček	po @@tůč @@ek
potůčku	po @@tůč @@k @@u
pou	pou
pouhou	pouh @@ou
pouhá	pouh @@á
pouhého	pouh @@ého
pouhý	pouh @@ý
pouhým	pouh @@ým
poukazem	po @@u @@kaz @@em
poukazovat	po @@u @@kaz @@ova @@t
poukazovati	po @@u @@kaz @@ova @@ti
poukázat	po @@u @@káz @@a @@t
poulit	poul @@i @@t
pouliční	po @@ulič @@ní
poupátko	poup @@át @@k @@o
poupě	poup @@ě
poustevničit	poust @@evn @@ič @@i @@t
poustevníci	poust @@ev @@n @@íc @@i
pouta	pout @@a
poutat	pout @@a @@t
poutem	pout @@em
pouti	pout @@i
poutička	pout @@ičk @@a
poutník	pout @@ník
pouto	pout @@o
pouzdro	pouzdr @@o
pouzdru	pouzdr @@u
pouze	pouz @@e
poučit	po @@uč @@i @@t
poučné	po @@uč @@n @@é
poučně	po @@uč @@n @@ě
poučovat	po @@uč @@ova @@t
pouštního	poušt @@n @@ího
pouštích	poušt @@ích
pouštěmi	poušt @@ěmi
pouštět	poušt @@ě @@t
poušť	poušť
použijí	po @@u @@ži @@j @@í
použila	po @@u @@ži @@l @@a
použit	po @@u @@ži @@t
použitelný	po @@u @@ži @@teln @@ý
použitelnými	po @@u @@ži @@teln @@ými
použité	po @@u @@ži @@t @@é
použití	po @@u @@ži @@tí
použít	po @@u @@ží @@t
použíti	použ @@í @@ti
používají	pou @@ží @@v @@aj @@í
používat	po @@u @@ží @@v @@a @@t
používá	po @@u @@ží @@v @@á
používání	po @@u @@ží @@v @@á @@n @@í
povadit	po @@vad @@i @@t
povadnout	po @@vad @@nou @@t
povaha	po @@vah @@a
povahově	po @@vah @@ov @@ě
povahy	po @@vah @@y
povalečův	po @@val @@eč @@ův
povalit	po @@val @@i @@t
povaze	po @@vaz @@e
povařit	po @@vař @@i @@t
považ	po @@važ
považoval	po @@važ @@ova @@l
považovala	po @@važ @@ova @@l @@a
považuje	po @@važ @@uje
považuji	po @@važ @@uj @@i
povel	po @@vel
poveselit	po @@vesel @@i @@t
povečeřet	po @@večeř @@e @@t
povinen	po @@vin @@en
povinností	po @@vin @@n @@ost @@í
povinný	po @@vin @@n @@ý
povinout	po @@vi @@nou @@t
povléci	po @@vléc @@i
povlékat	po @@vlék @@a @@t
povlíkat	po @@vlík @@a @@t
povlíknout	po @@vlík @@nou @@t
povodeň	po @@vod @@eň
povolaný	po @@vol @@an @@ý
povolat	po @@vol @@a @@t
povolenou	po @@vol @@en @@ou
povolení	po @@vol @@en @@í
povolme	po @@vol @@me
povolovat	po @@vol @@ova @@t
povolá	po @@vol @@á
povolán	po @@vol @@á @@n
povolání	po @@vol @@á @@n @@í
povoláte	po @@vol @@á @@te
povolávat	po @@vol @@á @@v @@a @@t
povozit	po @@voz @@i @@t
povoženě	po @@vož @@en @@ě
povraždit	po @@vraž @@d @@i @@t
povrch	po @@vrch
povrhat	po @@vrh @@a @@t
povrhnout	po @@vrh @@nou @@t
povrhávat	po @@vrh @@á @@v @@a @@t
povstal	po @@v @@sta @@l
povstala	po @@v @@sta @@l @@a
povstat	po @@v @@sta @@t
povstávaje	po @@v @@stá @@v @@aj @@e
povstávat	po @@v @@stá @@v @@a @@t
povykasat	po @@vy @@kas @@a @@t
povykoval	po @@vyk @@ova @@l
povykovat	po @@vyk @@ova @@t
povykují	po @@vyk @@uj @@í
povylézaný	po @@vy @@léz @@a @@n @@ý
povylézt	po @@vy @@léz @@t
povyrážet	po @@vy @@ráž @@e @@t
povyrůsti	po @@vy @@růs @@ti
povyskakovat	po @@vy @@skak @@ova @@t
povyskočit	po @@vy @@skoč @@i @@t
povyšovat	po @@vyš @@ova @@t
povzbudit	po @@vz @@bud @@i @@t
povzbuzení	po @@vz @@buz @@en @@í
povzbuzením	po @@vz @@buz @@en @@ím
povzbuzovat	po @@vz @@buz @@ova @@t
povzdychat	po @@vz @@dych @@a @@t
povzdychávat	po @@vz @@dych @@á @@v @@a @@t
povznesené	po @@vz @@nes @@en @@é
povznášet	po @@vz @@náš @@e @@t
povznést	po @@vz @@nés @@t
poválet	po @@vál @@e @@t
povápnit	po @@vápn @@i @@t
povát	po @@vá @@t
povázat	po @@váz @@a @@t
povázatelnost	po @@váz @@a @@teln @@ost
pováženou	po @@váž @@en @@ou
povážit	po @@váž @@i @@t
povážíme	po @@váž @@í @@me
povést	po @@vés @@t
povésti	po @@vés @@ti
poví	po @@v @@í
povídají	po @@víd @@aj @@í
povídala	po @@víd @@a @@l @@a
povídat	po @@víd @@a @@t
povídej	po @@víd @@ej
povídku	po @@víd @@k @@u
povídá	po @@víd @@á
povídám	po @@víd @@á @@m
povíjet	po @@víj @@e @@t
povím	po @@v @@í @@m
povíme	po @@v @@í @@me
povít	po @@ví @@t
povíte	po @@v @@í @@te
povíš	po @@v @@í @@š
povědět	po @@věd @@ě @@t
pověra	po @@věr @@a
pověry	po @@věr @@y
pověsili	po @@věs @@i @@l @@i
pověsit	po @@věs @@i @@t
pověste	po @@věs @@te
pověsti	po @@věs @@t @@i
pověstné	po @@věst @@n @@é
pověstným	po @@věst @@n @@ým
pověsí	po @@věs @@í
pověsíme	po @@věs @@í @@me
povětří	po @@větř @@í
pověz	po @@věz
povězte	po @@věz @@te
pověřeni	po @@věř @@en @@i
pověřit	po @@věř @@i @@t
pověřovat	po @@věř @@ova @@t
povšimli	po @@všim @@l @@i
povšimnout	po @@všim @@nou @@t
pozabíjet	po @@za @@bíj @@e @@t
pozahrávat	po @@za @@hrá @@v @@a @@t
pozamykat	po @@za @@myk @@a @@t
pozapomenout	po @@za @@po @@me @@nou @@t
pozastavit	po @@za @@sta @@v @@i @@t
pozastavovat	po @@za @@stav @@ova @@t
pozastesknout	po @@za @@s @@tesk @@nou @@t
pozatýkat	po @@za @@týk @@a @@t
pozbýt	po @@z @@bý @@t
pozbývat	po @@z @@bý @@v @@a @@t
pozdit	pozd @@i @@t
pozdní	pozd @@n @@í
pozdrav	po @@zdrav
pozdravil	po @@zdrav @@i @@l
pozdravovat	po @@zdrav @@ova @@t
pozdržet	po @@z @@drž @@e @@t
pozdržovat	po @@z @@drž @@ova @@t
pozdvihat	po @@zdvih @@a @@t
pozdvihnout	po @@zdvih @@nou @@t
pozdvihovat	po @@zdvih @@ova @@t
pozdě	pozd @@ě
pozeleňovaný	po @@zeleň @@ova @@n @@ý
pozemek	po @@zem @@ek
pozemku	po @@zem @@k @@u
pozeptat	po @@ze @@pt @@a @@t
pozhasínat	po @@z @@has @@ín @@a @@t
pozhášet	po @@z @@háš @@e @@t
pozici	pozic @@i
pozinkovat	po @@zink @@ova @@t
pozitivism	pozit @@iv @@ism
pozitivismem	pozit @@iv @@ism @@em
pozitivismu	pozit @@iv @@ism @@u
pozitivistickému	pozit @@iv @@ist @@ic @@k @@ému
pozitivistovi	pozit @@iv @@ist @@ovi
pozitivní	pozit @@iv @@n @@í
pozlacovat	po @@zlac @@ova @@t
pozlatit	po @@zlat @@i @@t
pozměnili	po @@z @@měn @@i @@l @@i
pozměniti	po @@z @@měn @@i @@ti
pozměňovat	po @@z @@měň @@ova @@t
pozměňují	po @@z @@měň @@uj @@í
poznalo	po @@zn @@a @@l @@o
poznamenal	po @@znam @@en @@a @@l
poznamenat	po @@znam @@en @@a @@t
poznamenávat	po @@znam @@en @@á @@v @@a @@t
poznané	po @@zn @@a @@n @@é
poznat	po @@zn @@a @@t
poznati	po @@zn @@a @@ti
poznatkem	po @@zn @@a @@t @@k @@em
poznatku	po @@zn @@a @@t @@k @@u
poznatky	po @@zn @@a @@t @@k @@y
poznatků	po @@zn @@a @@tk @@ů
poznavatele	po @@zn @@a @@v @@a @@tel @@e
poznačit	po @@znač @@i @@t
poznám	po @@zn @@á @@m
poznámek	po @@znám @@ek
poznámka	po @@znám @@k @@a
poznání	po @@zn @@á @@n @@í
poznáním	po @@zn @@á @@n @@ím
poznávací	po @@zn @@á @@v @@a @@c @@í
poznávacím	po @@zn @@á @@v @@a @@c @@ím
poznávajíce	po @@zn @@á @@v @@aj @@íc @@e
poznávající	po @@zn @@á @@v @@aj @@íc @@í
poznávajícího	po @@zn @@á @@v @@aj @@íc @@ího
poznávat	po @@zn @@á @@v @@a @@t
poznává	po @@zn @@á @@v @@á
poznávám	po @@zn @@á @@v @@á @@m
poznáváme	po @@zn @@á @@v @@á @@me
poznáváte	po @@zn @@á @@v @@á @@te
pozor	po @@zor
pozornosti	po @@zor @@n @@ost @@i
pozoroval	po @@zor @@ova @@l
pozorovat	po @@zor @@ova @@t
pozoruje	po @@zor @@uje
pozorují	po @@zor @@uj @@í
pozpěvovat	po @@z @@pě @@v @@ova @@t
poztrácet	po @@z @@trác @@e @@t
pozvali	po @@zv @@a @@l @@i
pozvat	po @@zv @@a @@t
pozvedat	po @@zved @@a @@t
pozvednout	po @@zved @@nou @@t
pozvedávat	po @@zved @@á @@v @@a @@t
pozvolna	po @@z @@vol @@n @@a
pozváni	po @@zv @@á @@n @@i
pozvání	po @@zv @@á @@n @@í
pozírávatelný	po @@zír @@á @@v @@a @@teln @@ý
pozřeli	po @@zř @@e @@l @@i
pozřít	po @@zř @@í @@t
pozůstávat	po @@zů @@stá @@v @@a @@t
pozůstává	po @@zů @@stá @@v @@á
počal	po @@č @@a @@l
počala	po @@č @@a @@l @@a
počali	po @@č @@a @@l @@i
počalo	po @@č @@a @@l @@o
počastovat	po @@čast @@ova @@t
počernit	po @@čern @@i @@t
počestnosti	po @@čest @@n @@ost @@i
počestná	po @@čest @@n @@á
počestné	po @@čest @@n @@é
počestní	po @@čest @@n @@í
počestný	po @@čest @@n @@ý
počet	po @@čet
početí	po @@č @@e @@t @@í
počistit	po @@čist @@i @@t
počitkového	po @@či @@t @@k @@ov @@ého
počitkovém	po @@či @@t @@k @@ov @@ém
počitkový	po @@či @@t @@k @@ov @@ý
počitku	po @@čit @@k @@u
počitky	po @@či @@t @@k @@y
počitků	po @@či @@t @@k @@ů
počišťovat	po @@čišť @@ova @@t
počkal	po @@čk @@a @@l
počkat	po @@čk @@a @@t
počkej	po @@čk @@ej
počkejme	po @@čk @@ej @@me
počkejte	po @@čk @@ej @@te
počkám	po @@čk @@á @@m
počmárat	po @@čmár @@a @@t
počne	po @@č @@ne
počnu	po @@č @@n @@u
počtech	po @@čt @@ech
počtu	po @@čt @@u
počtvrté	po @@čtvrt @@é
počurat	po @@čur @@a @@t
počárat	po @@čár @@a @@t
počátek	po @@čá @@t @@ek
počátku	po @@čá @@t @@k @@u
počíhat	po @@číh @@a @@t
počínat	po @@č @@ín @@a @@t
počíná	po @@č @@ín @@á
počít	po @@č @@í @@t
počítal	po @@čít @@a @@l
počítali	po @@čít @@a @@l @@i
počítat	po @@čít @@a @@t
počítačem	po @@čít @@ač @@em
počítá	po @@čít @@á
počítám	po @@čít @@á @@m
poďobat	po @@ďob @@a @@t
poďoubat	po @@ďoub @@a @@t
pořadí	po @@řad @@í
pořezat	po @@řez @@a @@t
pořizovat	po @@řiz @@ova @@t
pořádek	po @@řád @@ek
pořádku	po @@řád @@k @@u
pořádnou	po @@řád @@n @@ou
pořádná	po @@řád @@n @@á
pořádné	po @@řád @@n @@é
pořádného	po @@řád @@n @@ého
pořádný	po @@řád @@n @@ý
pořádně	po @@řád @@n @@ě
pořádá	po @@řád @@á
pořídil	po @@říd @@i @@l
pořídit	po @@říd @@i @@t
pořídím	po @@říd @@í @@m
pořídíte	po @@říd @@í @@te
poříčí	po @@říč @@í
pořčený	po @@řč @@en @@ý
pošeptal	po @@šept @@a @@l
pošeptávat	po @@šept @@á @@v @@a @@t
pošetilá	po @@šet @@i @@l @@á
pošimrat	po @@šimr @@a @@t
pošinout	po @@ši @@nou @@t
pošinovat	po @@šin @@ova @@t
pošklebovat	po @@škleb @@ova @@t
pošklíbat	po @@šklíb @@a @@t
poškodil	po @@škod @@i @@l
poškorpit	po @@škorp @@i @@t
poškozenému	po @@škoz @@en @@ému
poškozený	po @@škoz @@en @@ý
poškozovat	po @@škoz @@ova @@t
poškozuje	po @@škoz @@uje
poškozujete	po @@škoz @@uje @@te
poškrabat	po @@škrab @@a @@t
poškrobit	po @@škrob @@i @@t
poškrábanou	po @@škráb @@a @@n @@ou
poškrábat	po @@škráb @@a @@t
poškubat	po @@škub @@a @@t
poškubnout	po @@škub @@nou @@t
poškubovat	po @@škub @@ova @@t
poškubávat	po @@škub @@á @@v @@a @@t
pošlu	po @@šl @@u
pošmáknout	po @@šmák @@nou @@t
pošoupnout	po @@šoup @@nou @@t
pošpinit	po @@špin @@i @@t
pošpičkovat	po @@špič @@k @@ova @@t
pošplouchat	po @@šplouch @@a @@t
pošplíchat	po @@šplích @@a @@t
pošpásovat	po @@špás @@ova @@t
pošta	pošt @@a
poštmistrovou	pošt @@mistr @@ov @@ou
poštmistrovské	pošt @@mistr @@ov @@sk @@é
poštou	pošt @@ou
poštu	pošt @@u
poštvat	po @@štv @@a @@t
poštípat	po @@štíp @@a @@t
poštívat	po @@štív @@a @@t
poště	pošt @@ě
poštěstit	po @@štěst @@i @@t
pošušňat	po @@šušň @@a @@t
pošušňávat	po @@šušň @@á @@v @@a @@t
pošvihovat	po @@švih @@ova @@t
pošvihávat	po @@švih @@á @@v @@a @@t
pošívat	po @@ší @@v @@a @@t
pošťouchnout	po @@šťouch @@nou @@t
pošťouchávat	po @@šťouch @@á @@v @@a @@t
pošťourat	po @@šťour @@a @@t
pošťuchnout	po @@šťuch @@nou @@t
pošťuchovat	po @@šťuch @@ova @@t
pošťáci	pošť @@ác @@i
pošťárat	po @@šťár @@a @@t
poťapat	po @@ťap @@a @@t
požadavku	po @@žad @@a @@v @@k @@u
požadavky	po @@žad @@a @@v @@k @@y
požadavků	po @@žad @@a @@v @@k @@ů
požadavkům	po @@žad @@a @@v @@k @@ům
požadovat	po @@žad @@ova @@t
požaduje	po @@žad @@uje
požaduji	po @@žad @@uj @@i
požalovat	po @@žal @@ova @@t
požehnané	po @@žeh @@n @@a @@n @@é
požehnaném	po @@žeh @@n @@a @@n @@ém
požehnaný	po @@žehn @@a @@n @@ý
požehnat	po @@žehn @@a @@t
požehnej	po @@žeh @@n @@ej
požehnejte	po @@žeh @@n @@ej @@te
požehnout	po @@žeh @@nou @@t
požehnání	po @@žehn @@á @@n @@í
požehnávat	po @@žehn @@á @@v @@a @@t
požehovat	po @@žeh @@ova @@t
poželatinovávatelnost	po @@žel @@atin @@ová @@v @@a @@teln @@ost
požidovštit	po @@žid @@ov @@št @@i @@t
požnout	po @@ž @@nou @@t
požrat	po @@žr @@a @@t
požádají	po @@žád @@aj @@í
požádal	po @@žád @@a @@l
požádala	po @@žád @@a @@l @@a
požádání	po @@žád @@á @@n @@í
požár	po @@žár
požárech	po @@žár @@ech
požární	po @@žár @@n @@í
požáru	po @@žár @@u
požárů	po @@žár @@ů
požínat	po @@žín @@a @@t
požírat	po @@žír @@a @@t
požít	po @@ží @@t
požívat	po @@ží @@v @@a @@t
prach	prach
prachama	prach @@ama
prachkujóne	prach @@kujón @@e
prachmilióne	prach @@milión @@e
prachnivět	prach @@n @@iv @@ě @@t
prachu	prach @@u
prachy	prach @@y
pracky	prac @@k @@y
pracovali	prac @@ova @@l @@i
pracovat	prac @@ova @@t
pracovati	prac @@ova @@ti
pracovitost	prac @@ov @@it @@ost
pracovití	prac @@ovit @@í
pracoviště	prac @@ov @@išt @@ě
pracovnách	prac @@ov @@n @@ách
pracovní	prac @@ov @@n @@í
pracovních	prac @@ov @@n @@ích
pracovníci	prac @@ov @@níc @@i
pracovního	prac @@ov @@n @@ího
pracovník	prac @@ov @@ník
pracovníka	prac @@ov @@ník @@a
pracovníky	prac @@ov @@ník @@y
pracovníků	prac @@ov @@ník @@ů
pracovním	prac @@ov @@n @@í @@m
pracovně	prac @@ov @@n @@ě
pracování	prac @@ová @@n @@í
pracuje	prac @@uje
pracujeme	prac @@uje @@me
pracujíce	prac @@uj @@íc @@e
pracující	prac @@uj @@íc @@í
prací	prac @@í
pradlena	pr @@a @@dl @@en @@a
pradlenu	pr @@a @@dl @@en @@u
pradědek	pra @@děd @@ek
pradědeček	pra @@děd @@eček
pradědečka	pra @@děd @@ečk @@a
pragmaticism	pragm @@at @@ic @@ism
pragmatická	pragm @@at @@ic @@k @@á
pragmatický	pragm @@at @@ic @@k @@ý
pragmatických	pragm @@at @@ic @@k @@ých
pragmatism	pragm @@at @@ism
pragmatismu	pragm @@at @@ism @@u
pragmatismus	pragm @@at @@ism @@us
pragmatista	pragm @@at @@ist @@a
pragmatistické	pragm @@at @@ist @@ic @@k @@é
pragmatistický	pragm @@at @@ist @@ic @@k @@ý
pragmatistickým	pragm @@at @@ist @@ic @@k @@ým
pragmatisty	pragm @@at @@ist @@y
pragmatisté	pragm @@at @@ist @@é
pragoreal	prag @@o @@real
pragorealu	prag @@o @@real @@u
prague	prague
praha	prah @@a
prahl	prah @@l
prahnout	prah @@nou @@t
prahy	prah @@y
praktickou	prakt @@ic @@k @@ou
prakticky	prakt @@ic @@k @@y
praktická	prakt @@ic @@k @@á
praktického	prakt @@ic @@k @@ého
praktický	prakt @@ic @@k @@ý
praktických	prakt @@ic @@k @@ých
praktickým	prakt @@ic @@k @@ým
praktickými	prakt @@ic @@k @@ými
praktikovat	prakt @@ik @@ova @@t
prales	pra @@les
pralesy	pra @@les @@y
pramenit	pramen @@i @@t
pramálo	pra @@mál @@o
pranic	pra @@ni @@c
praní	pr @@a @@n @@í
pranýřovat	pranýř @@ova @@t
prasata	pras @@at @@a
prase	pras @@e
prasit	pras @@i @@t
praskat	prask @@a @@t
praskla	prask @@l @@a
prasklo	prask @@l @@o
prasknout	prask @@nou @@t
praskot	prask @@ot
prastarý	pra @@star @@ý
prastrýčka	pra @@strýč @@k @@a
prasáci	pras @@ác @@i
pravda	prav @@d @@a
pravdami	prav @@d @@ami
pravdivost	prav @@d @@iv @@ost
pravdivou	prav @@d @@iv @@ou
pravdivý	prav @@d @@iv @@ý
pravdivými	prav @@d @@iv @@ými
pravdivější	prav @@d @@iv @@ěj @@š @@í
pravdou	prav @@d @@ou
pravdu	prav @@d @@u
pravdě	prav @@d @@ě
pravděpodobný	pravd @@ě @@podob @@n @@ý
pravděpodobnější	prav @@d @@ě @@po @@dob @@n @@ějš @@í
pravidel	prav @@i @@del
pravidelný	prav @@idel @@n @@ý
pravidelně	prav @@i @@del @@n @@ě
pravidla	prav @@i @@dl @@a
pravidlo	prav @@i @@dl @@o
pravil	prav @@i @@l
pravila	prav @@i @@l @@a
pravit	prav @@i @@t
pravoslavnost	prav @@o @@slav @@n @@ost
pravou	prav @@ou
pravá	prav @@á
pravé	prav @@é
pravém	prav @@ém
pravím	prav @@í @@m
pravítkem	prav @@í @@tk @@em
pravý	prav @@ý
pravěký	pra @@věk @@ý
praxe	prax @@e
praze	praz @@e
prašivko	praš @@i @@v @@k @@o
prašivá	praš @@i @@v @@á
prašníkový	praš @@ník @@ov @@ý
prašpatná	pra @@špat @@n @@á
praštil	prašt @@i @@l
praštit	prašt @@i @@t
praštíme	prašt @@í @@me
pražit	praž @@i @@t
praživoucí	pra @@ži @@v @@ou @@c @@í
pražskou	praž @@sk @@ou
pražské	praž @@sk @@é
pražský	praž @@sk @@ý
pražádné	pra @@žád @@n @@é
prcek	prc @@ek
prchat	prch @@a @@t
prchavý	prch @@a @@v @@ý
prchnout	prch @@nou @@t
prcinko	prc @@in @@k @@o
prdnout	prd @@nou @@t
prdolit	prdol @@i @@t
precizní	preciz @@n @@í
precizovat	preciz @@ova @@t
predestinovat	pre @@destin @@ova @@t
prefabrikvatelný	pre @@fabrik @@va @@teln @@ý
preferovat	pre @@fer @@ova @@t
